Species,DBH,Male Cones,Female Cones,Height,Health,Pitch Tubes,Frass,Sap Drips,Holes,Crown Cover,Site,Beetle,Fecundity,Year,Tree Number
COUL,2.1,Y,N,2.3,D,N,N,Y,Y,15,1,0,2,2018,10
COUL,4.3,Y,N,3.5,S,N,N,Y,N,20,1,0,2,2018,11
COUL,25.7,Y,Y,12.5,S,N,N,N,N,35,1,0,3,2018,12
COUL,12.4,Y,N,6.9,D,N,Y,Y,N,25,1,0,2,2018,13
COUL,14.7,Y,N,5.7,U,N,N,Y,N,20,1,1,2,2018,14
COUL,26.2,Y,Y,8.1,U,N,N,Y,N,35,1,1,3,2018,15
ATTE,68.5,N,Y,12,D,Y,Y,Y,Y,0,2,4,1,2018,16
COUL,23.3,N,Y,6.65,D,Y,Y,Y,Y,0,2,4,1,2018,17
COUL,27,N,Y,7.85,D,N,N,Y,N,0,2,1,1,2018,18
COUL,22,N,Y,7.15,D,N,Y,Y,Y,0,2,3,1,2018,19
COUL,22.3,N,Y,5.2,D,N,N,Y,Y,0,2,2,1,2018,20
COUL,22.7,N,Y,6.525,D,N,N,Y,Y,0,2,2,1,2018,21
COUL,19.8,N,N,5.98,D,Y,Y,Y,Y,0,2,4,0,2018,22
COUL,23,N,Y,4.76,D,Y,Y,Y,Y,0,2,3,1,2018,24
ATTE,76,Y,Y,20,H,N,N,N,N,60,2,0,3,2015,24
ATTE,76.1,Y,Y,20.2,H,N,N,N,N,60,2,0,3,2016,24
ATTE,76.3,Y,Y,20.3,H,N,N,N,N,60,2,0,3,2017,24
ATTE,76.5,Y,Y,20.4,H,N,N,N,N,60,2,0,3,2018,24
ATTE,50,Y,Y,17,H,N,N,N,N,55,2,0,3,2015,25
ATTE,50.55,Y,Y,17.1,H,N,N,N,N,55,2,0,3,2016,25
ATTE,50.7,Y,Y,17.2,H,N,N,N,N,55,2,0,3,2017,25
ATTE,50.8,Y,Y,17.3,H,N,N,N,N,55,2,0,3,2018,25
ATTE,25,N,Y,13,U,N,N,N,N,40,2,0,1,2015,26
ATTE,25.1,N,Y,13,S,N,N,N,N,20,2,0,1,2016,26
ATTE,25.1,N,Y,13,S,N,N,Y,Y,15,2,2,1,2017,26
ATTE,25.1,N,Y,13,D,N,Y,Y,Y,0,2,3,1,2018,26
ATTE,15,N,Y,9,U,N,N,Y,N,45,2,1,1,2015,27
ATTE,15.2,N,Y,9.1,S,Y,N,Y,Y,35,2,2,1,2016,27
ATTE,15.2,N,Y,9.1,S,Y,Y,Y,Y,0,2,4,1,2017,27
ATTE,15.2,N,Y,9.1,S,Y,Y,Y,Y,0,2,4,1,2018,27
ATTE,11,N,N,6,S,Y,N,Y,N,20,2,2,0,2015,28
ATTE,11,N,N,6,S,Y,N,Y,N,15,2,2,0,2016,28
ATTE,11,N,N,6,D,Y,N,Y,N,0,2,3,0,2017,28
ATTE,11,N,N,6,D,Y,Y,Y,N,0,2,4,0,2018,28
ATTE,9,N,N,5.6,H,N,N,N,N,30,2,0,0,2015,29
ATTE,9.1,N,N,5.7,U,N,N,N,N,25,2,0,0,2016,29
ATTE,9.2,N,N,5.8,S,Y,N,Y,N,15,2,2,0,2017,29
